path,sha256,rights_status,source_reference,source_label,license,license_url,attribution,composition_rights,composition_rights_basis,redistribution,verified_by,verified_at
bach-bwv1068-air.mid,5f7763dd4d29f309cac6d670c22aa029aca23c8c97743a0511d4b9c6d3435f1c,verified-open,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1534,Mutopia Project,public-domain,https://www.mutopiaproject.org/legal.html,,public-domain,"J. S. Bach died 1750; Air from Orchestral Suite No. 3, BWV 1068, composed c. 1730; Mutopia item record states Copyright: Public Domain",permitted,kurthamm via fetch-candidate workflow,2026-08-24T17:02:53+00:00
bach-bwv772-invention-1.mid,9b9a6213941932d5171d9102d85912c3c1c61f8176ce02005cd2198881823c2d,verified-open,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=40,Mutopia Project,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Typeset by jeff covey for the Mutopia Project, CC BY-SA 3.0",public-domain,"J. S. Bach died 1750; Invention No. 1, BWV 772 composed 1723; Mutopia item record states Copyright: Creative Commons Attribution-ShareAlike 3.0 for this typesetting",permitted-with-attribution,kurthamm via fetch-candidate workflow,2026-08-24T17:01:08+00:00
bach-bwv846-prelude.mid,874e07d0479542971bfceaf420d6117da8d602d89d26eea4610e7dd1ef58bf26,verified-open,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=5,Mutopia Project,public-domain,https://www.mutopiaproject.org/legal.html,,public-domain,"J. S. Bach died 1750; Prelude in C, BWV 846 composed 1722; Mutopia item record states Copyright: Public Domain",permitted,kurthamm via fetch-candidate workflow,2026-08-24T17:00:52+00:00
beethoven-fur-elise.mid,1c12c21c7bbf4cf163896732672648a69d497636059837abd153c71abe50215a,verified-open,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=931,Mutopia Project,public-domain,https://www.mutopiaproject.org/legal.html,,public-domain,Ludwig van Beethoven died 1827; work composed 1810; source edition Breitkopf & Härtel 1888; Mutopia contribution marked Public Domain,permitted,kurthamm via fetch-candidate workflow,2026-08-24T16:34:51+00:00
chopin-nocturne-op9-no2.mid,e202d3941ce5f26397f57f59f0e2e4e3ad9e19061fa3c4dc596c5ee6a6a2548e,verified-open,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1590,Mutopia Project,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Typeset by Renato Biolcati Rinaldi for the Mutopia Project, CC BY-SA 3.0",public-domain,Frederic Chopin died 1849; Nocturne Op. 9 No. 2 dated 1833 on the Mutopia item record; that record states Copyright: Creative Commons Attribution-ShareAlike 3.0 for this typesetting,permitted-with-attribution,kurthamm via fetch-candidate workflow,2026-08-24T17:05:35+00:00
debussy-clair-de-lune.mid,4eee9a1546ffde1ff74cb9824ba0e57cbc821185a15185bfea9faed97820bf8c,verified-open,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1778,Mutopia Project,public-domain,https://www.mutopiaproject.org/legal.html,,public-domain,Claude Debussy died 1918; E. Fromont edition published 1905; Mutopia contribution marked Public Domain,permitted,kurthamm via fetch-candidate workflow,2026-08-24T16:34:59+00:00
diabelli-op149-no1.mid,9ad9ce80541e03f9bfa5b51352137e0e20f154d81ed04d3db71ace797bf9d6fe,verified-open,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=389,Mutopia Project,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Typeset by Alberto Simões for the Mutopia Project, Copyright © 2013, CC BY-SA 3.0",public-domain,Anton Diabelli died 1858; Op.149 was first published in 1831 and is an original piano-four-hands work,permitted-with-attribution,kurthamm via fetch-candidate workflow,2026-08-24T16:34:08+00:00
diabelli-op149-no4.mid,3e695c28acdcbd54890d694114a5efbecffd25fbbc937ee9a5741ec684659c1f,verified-open,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=404,Mutopia Project,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Typeset by Alberto Simoes for the Mutopia Project, CC BY-SA 3.0",public-domain,Anton Diabelli died 1858; Op. 149 was first published in 1831 and is an original piano-four-hands work; the Mutopia item record states Copyright: Creative Commons Attribution-ShareAlike 3.0 for this typesetting,permitted-with-attribution,kurthamm via fetch-candidate workflow,2026-08-24T17:09:00+00:00
diabelli-op149-no5.mid,6d217596cc6ecb1d20e9779621e939b6a5a13641f9daa25dd7c5109d3c7665f1,verified-open,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=405,Mutopia Project,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Typeset by Alberto Simoes for the Mutopia Project, CC BY-SA 3.0",public-domain,Anton Diabelli died 1858; Op. 149 was first published in 1831 and is an original piano-four-hands work; the Mutopia item record states Copyright: Creative Commons Attribution-ShareAlike 3.0 for this typesetting,permitted-with-attribution,kurthamm via fetch-candidate workflow,2026-08-24T17:09:22+00:00
joplin-the-strenuous-life.mid,6e5793f5f49f06ef793cfb7ebe720ba391a81f077d9c1ed1ab8ce3c02ebde99d,verified-open,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1542,Mutopia Project,public-domain,https://www.mutopiaproject.org/legal.html,,public-domain,Scott Joplin died 1917; The Strenuous Life dated 1902 on the Mutopia item record; that record states Copyright: Public Domain,permitted,kurthamm via fetch-candidate workflow,2026-08-24T17:10:10+00:00
